name,description,reason,company,rating
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm, treat acne vulgaris ,Acne,Alembic Pharmaceuticals Ltd.,2.9
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm, treat acne vulgaris ,Acne,Glenmark Pharmaceuticals Ltd.,2.7
Bengel AC 2.5% Gel 30gm, treat mild to moderate acne(spots),Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Bengel Acra 2.5% Gel 30gm,treatment of dry scaly skin disorders of the scalp,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Benzac AC 2.5% Gel 20gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Dr. Reddys Laboratories Ltd.,4.7
Benzac AC 5% Gel 20gm," gives smooth, soft, supple and fresh feeling to the skin",Acne,Divis Laboratories Ltd.,4.5
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Cipla Ltd.,4.3
Benzonext 5% Gel 20gmBenzonext Gel 20gm,treatment of dry scaly skin disorders of the scalp,Acne,Biocon Ltd.,4.1
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Mild to moderate acne (spots),Acne,Aurobindo Pharma Ltd.,3.9
Benzox AC 5% Gel 20gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Torrent Pharmaceuticals Ltd.,3.5
Blokage Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Lupin Ltd.,3.4
Botanica 3D Serum 30ml,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cadila Healthcare Ltd.,3.3
Brevoxyl Cream 20gm,treat the most severe form of acne (nodular acne) ,Acne,Abbott India Ltd.,3.25
Brevoxyl Creamy Wash Lotion 50gm,treat the most severe form of acne (nodular acne) ,Acne,Alkem Laboratories Ltd.,3.2
Brite Opti Cream 10gm,treat the most severe form of acne (nodular acne) ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Calosoft Plus Cream 30gm, treat acne vulgaris ,Acne,Ipca Laboratories Ltd.,3.0
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm, treat acne vulgaris ,Acne,Alembic Pharmaceuticals Ltd.,2.9
Canvaz Gel(Topical) 15gm, treat mild to moderate acne(spots),Acne,Glenmark Pharmaceuticals Ltd.,2.7
Cdiff A Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Cinason N Gel 20gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Cleargel Gel 20gm,treatment of dry scaly skin disorders of the scalp,Acne,Dr. Reddys Laboratories Ltd.,4.7
Cleargel AP Gel 15gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Divis Laboratories Ltd.,4.5
Clearliv Capsule 60'S," gives smooth, soft, supple and fresh feeling to the skin",Acne,Cipla Ltd.,4.3
CLENCHIN Gel(Topical) 20gm,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Biocon Ltd.,4.1
CLENCHIN Z Cream 10gm,Mild to moderate acne (spots),Acne,Aurobindo Pharma Ltd.,3.9
Cliac Gel 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Torrent Pharmaceuticals Ltd.,3.5
Click Gel 20gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Lupin Ltd.,3.4
Clid 1% Gel 20gmClid Gel 30gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cadila Healthcare Ltd.,3.3
Cliface Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Abbott India Ltd.,3.25
Cliface A Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Alkem Laboratories Ltd.,3.2
Cligel N Gel 20gmCligel Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Cligel A Gel 15gm, treat acne vulgaris ,Acne,Ipca Laboratories Ltd.,3.0
Cligel T Gel 15gm, treat acne vulgaris ,Acne,Alembic Pharmaceuticals Ltd.,2.9
Climple 1% Gel 15gm, treat mild to moderate acne(spots),Acne,Glenmark Pharmaceuticals Ltd.,2.7
Climple A Cream 15gm,treatment of dry scaly skin disorders of the scalp,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Clin 1% Gel 10gmClin Tablet 10's,Mild to moderate acne (spots),Acne,Sun Pharmaceutical Industries Ltd.,4.8
Clin 3 Gel 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Dr. Reddys Laboratories Ltd.,4.7
Clin AD Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Divis Laboratories Ltd.,4.5
Clinadd Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cipla Ltd.,4.3
Clinapil 1% Gel 10gm,treat the most severe form of acne (nodular acne) ,Acne,Biocon Ltd.,4.1
Clincent 1% Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
Clincent A Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Clincin Gel 20gmCLINCIN Gel 10gm, treat acne vulgaris ,Acne,Lupin Ltd.,3.4
Clincin N GE Gel 20gm, treat acne vulgaris ,Acne,Cadila Healthcare Ltd.,3.3
Clincitop Gel 20gmClincitop Gel(Topical) 15gm, treat mild to moderate acne(spots),Acne,Abbott India Ltd.,3.25
Clinda 1% Gel 10gm,treatment of dry scaly skin disorders of the scalp,Acne,Alkem Laboratories Ltd.,3.2
Clindac A Foaming Facewash 50ml,combined with anti-acne actives of both natural and synthetic origin,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm," gives smooth, soft, supple and fresh feeling to the skin",Acne,Ipca Laboratories Ltd.,3.0
Clindakem A Gel 20gm,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Alembic Pharmaceuticals Ltd.,2.9
Clindap Gel 20gm,treatment of dry scaly skin disorders of the scalp,Acne,Glenmark Pharmaceuticals Ltd.,2.7
Clindapene Gel 15gm,Mild to moderate acne (spots),Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Clindoxyl Gel 15gmClindoxyl Gel 10gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Dr. Reddys Laboratories Ltd.,4.7
Clinet Gel 20gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Divis Laboratories Ltd.,4.5
Clingard Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Cipla Ltd.,4.3
Clinka Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Biocon Ltd.,4.1
Clinka N Gel 10gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
CLINKRICK Gel 10gm, treat acne vulgaris ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Clinlup 1% Gel 10gm, treat acne vulgaris ,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Clinmax A Gel 30gmClinmax Gel 20gm, treat mild to moderate acne(spots),Acne,Dr. Reddys Laboratories Ltd.,4.7
Clinmiface A Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Divis Laboratories Ltd.,4.5
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,combined with anti-acne actives of both natural and synthetic origin,Acne,Cipla Ltd.,4.3
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Biocon Ltd.,4.1
Clinxa Gel 20gm,Mild to moderate acne (spots),Acne,Aurobindo Pharma Ltd.,3.9
Clinxa A Gel 20gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Torrent Pharmaceuticals Ltd.,3.5
Comedolytic Cream 20gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Lupin Ltd.,3.4
Cortina H Cream 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cadila Healthcare Ltd.,3.3
Cosmoderm Kit 1'S,treat the most severe form of acne (nodular acne) ,Acne,Abbott India Ltd.,3.25
Cospeel Shampoo 50ml,treat the most severe form of acne (nodular acne) ,Acne,Alkem Laboratories Ltd.,3.2
Crixan Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
D Acne Soap 75gmD Acne Gel 10gm, treat acne vulgaris ,Acne,Ipca Laboratories Ltd.,3.0
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S, treat acne vulgaris ,Acne,Alembic Pharmaceuticals Ltd.,2.9
D Acne Plus Gel 15gm, treat mild to moderate acne(spots),Acne,Glenmark Pharmaceuticals Ltd.,2.7
Dalcihit 300Mg Capsule 10's,treatment of dry scaly skin disorders of the scalp,Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Decdan Lite Cream 20gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Decroma 6% Cream 30gm,treatment of dry scaly skin disorders of the scalp,Acne,Dr. Reddys Laboratories Ltd.,4.7
Depiglare Cream 15gm,Mild to moderate acne (spots),Acne,Divis Laboratories Ltd.,4.5
Deriva Aqueous Gel 15gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Cipla Ltd.,4.3
Deriva Bpo Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Biocon Ltd.,4.1
Deriva Cms Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Aurobindo Pharma Ltd.,3.9
Deriva MS Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Derlin Gel 10gm,treat the most severe form of acne (nodular acne) ,Acne,Lupin Ltd.,3.4
DERMADEW B Bar 75gm,treat the most severe form of acne (nodular acne) ,Acne,Cadila Healthcare Ltd.,3.3
Dersol BH Ointment 30gm, treat acne vulgaris ,Acne,Abbott India Ltd.,3.25
Doxt SL 100mg/5B Tablet 8'S, treat acne vulgaris ,Acne,Alkem Laboratories Ltd.,3.2
DS ACNE Face Wash 100gm, treat mild to moderate acne(spots),Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
EGA Night Cream 30gm,treatment of dry scaly skin disorders of the scalp,Acne,Ipca Laboratories Ltd.,3.0
Elosone HT Cream 15gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Alembic Pharmaceuticals Ltd.,2.9
Emolene Cream 100gm," gives smooth, soft, supple and fresh feeling to the skin",Acne,Glenmark Pharmaceuticals Ltd.,2.7
ENCLINA Gel(Topical) 20gm,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
ENCLINA ADP Gel(Topical) 20gm,treatment of dry scaly skin disorders of the scalp,Acne,Sun Pharmaceutical Industries Ltd.,4.8
Enshine Ointment 15gm,Mild to moderate acne (spots),Acne,Dr. Reddys Laboratories Ltd.,4.7
Entice Acne Bar 75gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Divis Laboratories Ltd.,4.5
Entice Natura Soap 75gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cipla Ltd.,4.3
Epiduo Gel 30gmEpiduo Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Biocon Ltd.,4.1
Erytop Lotion 25mlErytop Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
Erytop A Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,treat the most severe form of acne (nodular acne) ,Acne,Lupin Ltd.,3.4
Eudyna 0.05% Cream 20gm, treat acne vulgaris ,Acne,Cadila Healthcare Ltd.,3.3
Eunozit 10mg Capsule 10'S, treat acne vulgaris ,Acne,Abbott India Ltd.,3.25
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm, treat mild to moderate acne(spots),Acne,Alkem Laboratories Ltd.,3.2
Exazel N Cream 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Excela Cream 50gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Ipca Laboratories Ltd.,3.0
EXCEX Gel 15gm,treatment of dry scaly skin disorders of the scalp,Acne,Alembic Pharmaceuticals Ltd.,2.9
Exel Cream 16Gm,combined with anti-acne actives of both natural and synthetic origin,Acne,Glenmark Pharmaceuticals Ltd.,2.7
Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm," gives smooth, soft, supple and fresh feeling to the skin",Acne,JB Chemicals & Pharmaceuticals Ltd.,2.5
Fabeau Soap 1'S,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.",Acne,Sun Pharmaceutical Industries Ltd.,4.8
Facebenz A Gel 15gm,Mild to moderate acne (spots),Acne,Dr. Reddys Laboratories Ltd.,4.7
Faceclin Gel 20gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Divis Laboratories Ltd.,4.5
Faceclin A Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Cipla Ltd.,4.3
Faceclin AT Gel 15gm,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",Acne,Biocon Ltd.,4.1
Femcinol A Gel 20gm,treat the most severe form of acne (nodular acne) ,Acne,Aurobindo Pharma Ltd.,3.9
Femcinol Adp Gel 15gm,treat the most severe form of acne (nodular acne) ,Acne,Torrent Pharmaceuticals Ltd.,3.5
Femolink Cream 20gm,treat the most severe form of acne (nodular acne) ,Acne,Lupin Ltd.,3.4
Flexon Cream 15gm, treat acne vulgaris ,Acne,Cadila Healthcare Ltd.,3.3
Foracne Plus Gel 15gm, treat acne vulgaris ,Acne,Abbott India Ltd.,3.25
Ga 12 Cream 30gm, treat mild to moderate acne(spots),Acne,Alkem Laboratories Ltd.,3.2
Ga 6 Cream 30gm,treatment of dry scaly skin disorders of the scalp,Acne,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Glintra Gel 15gmGlintra A Gel 15gmGlintra Soap 75gmGlintra Gel 30gm,Mild to moderate acne (spots),Acne,Ipca Laboratories Ltd.,3.0
Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,Acne,Alembic Pharmaceuticals Ltd.,2.9
